Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Barakgalleryandcoffe,4.6,133,Cafe,"Bantul Regency, Special Region of Yogyakarta",Bantul,Barakgalleryandcoffe Cafe Bantul ,-7.8662424,110.3746719
Rumah Paris Bed & Breakfast,4.3,135,Lodge,"Jl. Parangtritis Km. 8,4, Tembi, Timbulharjo, Sewon",Bantul,Rumah Paris Bed & Breakfast Lodge Bantul ,-7.8704785,110.3554486
Tirta Taman Sari Swimming Pool,4.1,1888,Swimming pool,Jl. Pramuka No.30,Bantul,Tirta Taman Sari Swimming Pool Swimming pool Bantul ,-7.8816628,110.3395339
MARKAS BESAR THE TRACKTOR PIGEON,,,Housing complex,49FF+487,Bantul,MARKAS BESAR THE TRACKTOR PIGEON Housing complex Bantul ,-7.8772112,110.3732838
DESA WISATA BANGKRUNGAN,5,1,Tourist attraction,2892+X49,Bantul,DESA WISATA BANGKRUNGAN Tourist attraction Bantul ,-7.9800915,110.3003611
Taman Bantul Timur,4.8,4,Park,Jl. Ir. H. Juanda No.103,Bantul,Taman Bantul Timur Park Bantul ,-7.897162,110.3380775
Nabura Swimming Pool,4.1,518,Public swimming pool,Jl. Imogiri Tim.,Bantul,Nabura Swimming Pool Public swimming pool Bantul ,-7.861229,110.3885395
Taman Lockdown,,,Garden,"28FJ+MR3, Unnamed Road",Bantul,Taman Lockdown Garden Bantul ,-7.97586,110.332039
Tikungan Bawah,,,Park,29WW+RGR,Bantul,Tikungan Bawah Park Bantul ,-7.9528875,110.3962656
Waroeng Pohon Omah Sawah,4.4,5416, Indonesian,"Jl. Parangtritis No.KM. 6, RW.No.217",Bantul,Waroeng Pohon Omah Sawah  Indonesian Bantul ,-7.8477975,110.3590239
CARISSA TOUR & TRAVEL YOGYAKARTA,4.5,42,Car rental agency,"carissa tour & travel, GEBLAG RT 04, RW.22",Bantul,CARISSA TOUR & TRAVEL YOGYAKARTA Car rental agency Bantul ,-7.8725929,110.3290156
Singo_ Sini Ngopi,4.7,41,Cafe,"Jl. KH. Ali Maksum · In the Indonesian Institute of the Arts, Yogyakarta",Bantul,Singo_ Sini Ngopi Cafe Bantul ,-7.8533748,110.3554658
HAPPY TOUR - Paket Wisata Jogja Yogyakarta,5,84,Travel agency,Jl. Imogiri Barat No.km 6,Bantul,HAPPY TOUR - Paket Wisata Jogja Yogyakarta Travel agency Bantul ,-7.8527471,110.3766917
Sekertariat Desa Wisata Kerajinan JURON,4.7,6,Park,48HQ+HH4,Bantul,Sekertariat Desa Wisata Kerajinan JURON Park Bantul ,-7.8711187,110.3389525
Taman Kayu,4.3,20,Park,"Bantul Regency, Special Region of Yogyakarta",Bantul,Taman Kayu Park Bantul ,-7.9990277,110.2505349
Paket Trip Jogja - Sewa Mobil Jogja - Paket Tour Jogja,5,76,Car rental agency,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Paket Trip Jogja - Sewa Mobil Jogja - Paket Tour Jogja Car rental agency Bantul ,-7.8205499,110.3618526
Kediwung land,,,Park,"3C2P+R2G, Unnamed Road",Bantul,Kediwung land Park Bantul ,-7.9479278,110.4350806
Tower seluler,,,Construction company,49GG+XVF,Bantul,Tower seluler Construction company Bantul ,-7.8725587,110.3771817
Kusuma Homestay,4.4,343,Homestay,"Jalan Parangtritis KM. 6.5 Sewon Bantul, Jl. Mangunoneng No.1",Bantul,Kusuma Homestay Homestay Bantul ,-7.8539494,110.3570712
Watusaman Homestay Managed by The Grand Java,4.9,400,Homestay,Jl. Ringroad Selatan Jl. Saman,Bantul,Watusaman Homestay Managed by The Grand Java Homestay Bantul ,-7.8353033,110.3642702
EspressoHood Coffee and Tea,4.7,31,Coffee roasters,Jl. Tembi Ngentak,Bantul,EspressoHood Coffee and Tea Coffee roasters Bantul ,-7.8676192,110.3522909
