Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Dinas Pendidikan Kota Yogyakarta,4.4,80,City clerk's office,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Dinas Pendidikan Kota Yogyakarta City clerk's office Bantul ,-7.7953468,110.3722533
BILQIS Tirta,4.5,2,Water treatment plant,"38QH+X2P, Unnamed Road",Bantul,BILQIS Tirta Water treatment plant Bantul ,-7.9100383,110.327584
Fresh Water Imogiri,,,Water treatment plant,39HP+X25,Bantul,Fresh Water Imogiri Water treatment plant Bantul ,-7.920104,110.385101
Alsyheila,,,Water treatment plant,"58GH+J8P, Jl. Rindang",Bantul,Alsyheila Water treatment plant Bantul ,-7.823423,110.32833
Kantor Kelurahan Prenggan Kota Gede,3.6,11,Local government office,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Kantor Kelurahan Prenggan Kota Gede Local government office Bantul ,-7.8227904,110.3997218
Puskesmas Mantijeron,3.4,159,Public medical center,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Puskesmas Mantijeron Public medical center Bantul ,-7.8205747,110.3614812
PT Madani Technology Jogja,4,18,Water treatment plant,"Yogyakarta City, Special Region of Yogyakarta",Bantul,PT Madani Technology Jogja Water treatment plant Bantul ,-7.8358761,110.3911804
Puskesmas Kotagede 1,3.5,101,Public medical center,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Puskesmas Kotagede 1 Public medical center Bantul ,-7.8221758,110.4005606
Rosita Fresh,5,4,Water treatment plant,Jl. Jend. Sudirman No.140,Bantul,Rosita Fresh Water treatment plant Bantul ,-7.8871824,110.3299492
Depot Air Minum Isi Ulang Mineral & Ro Healthy,3.7,3,Water treatment plant,Jalan Karangjati Rt.07 Bangunjiwo Kasihan,Bantul,Depot Air Minum Isi Ulang Mineral & Ro Healthy Water treatment plant Bantul ,-7.8386602,110.3201055
Puskesmas Bambanglipuro,4,60,Public medical center,"38H7+798, Jl. Samas In Replika Istana",Bantul,Puskesmas Bambanglipuro Public medical center Bantul ,-7.9218427,110.3134672
Graha Tirta,5,2,Water treatment plant,5887+HC6,Bantul,Graha Tirta Water treatment plant Bantul ,-7.8335836,110.3135076
OZON FRESH,,,Water treatment plant,"5C33+V2W, Jl. Monumen Perjuangan",Bantul,OZON FRESH Water treatment plant Bantul ,-7.8748176,110.3255365
AZSKA Ozone Mineral Water,5,1,Water treatment plant,Jl. Monumen Perjuangan,Bantul,AZSKA Ozone Mineral Water Water treatment plant Bantul ,-7.845144,110.401362
Health center Nitikan,3.9,15,Public medical center,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Health center Nitikan Public medical center Bantul ,-7.8254957,110.3834217
De ZAMZAM 2,5,1,Water treatment plant,"Jalan Monumen Perjuangan, RT 3, Banguntapan, Bantul",Bantul,De ZAMZAM 2 Water treatment plant Bantul ,-7.8475158,110.4086707
Kotagede Centre of Public Health 2,4.1,80,Public medical center,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Kotagede Centre of Public Health 2 Public medical center Bantul ,-7.81365,110.394601
